Source,Target,Type,Id,Label,Weight
75,126,Undirected,2393,,3
75,127,Undirected,2394,,3
126,129,Undirected,2401,,4
128,24,Undirected,2405,,6
130,4,Undirected,2410,,7
130,122,Undirected,2411,,3
130,5,Undirected,2414,,3
131,4,Undirected,2416,,10
131,122,Undirected,2417,,3
131,98,Undirected,2419,,3
131,5,Undirected,2420,,3
89,4,Undirected,2421,,5
89,122,Undirected,2422,,4
89,5,Undirected,2423,,3
4,122,Undirected,2424,,9
4,92,Undirected,2425,,7
4,98,Undirected,2426,,14
122,98,Undirected,2428,,3
122,5,Undirected,2429,,3
92,5,Undirected,2430,,3
98,5,Undirected,2431,,4
132,135,Undirected,2436,,3
133,55,Undirected,2444,,3
133,135,Undirected,2446,,3
134,76,Undirected,2458,,3
55,93,Undirected,2462,,3
55,135,Undirected,2463,,9
55,139,Undirected,2468,,3
135,30,Undirected,2475,,5
135,139,Undirected,2480,,3
136,76,Undirected,2486,,3
112,140,Undirected,2496,,8
112,141,Undirected,2497,,5
112,142,Undirected,2498,,4
112,143,Undirected,2500,,10
112,145,Undirected,2503,,4
112,44,Undirected,2505,,6
112,4,Undirected,2508,,5
112,55,Undirected,2510,,4
112,135,Undirected,2511,,5
112,63,Undirected,2512,,5
112,66,Undirected,2514,,6
112,149,Undirected,2515,,5
112,69,Undirected,2516,,4
112,151,Undirected,2519,,4
112,74,Undirected,2520,,5
112,152,Undirected,2521,,3
140,36,Undirected,2525,,3
140,141,Undirected,2526,,6
140,142,Undirected,2527,,4
140,143,Undirected,2529,,8
140,144,Undirected,2530,,5
140,44,Undirected,2534,,8
140,17,Undirected,2535,,4
140,48,Undirected,2536,,4
140,4,Undirected,2538,,6
140,55,Undirected,2541,,8
140,135,Undirected,2542,,3
140,63,Undirected,2543,,4
140,66,Undirected,2545,,6
140,67,Undirected,2547,,17
140,149,Undirected,2548,,7
140,69,Undirected,2549,,5
140,150,Undirected,2550,,5
140,74,Undirected,2553,,8
140,24,Undirected,2554,,6
140,152,Undirected,2555,,3
140,153,Undirected,2557,,3
140,139,Undirected,2558,,3
36,141,Undirected,2559,,7
36,142,Undirected,2560,,5
36,143,Undirected,2562,,3
36,145,Undirected,2565,,3
36,4,Undirected,2568,,4
36,147,Undirected,2569,,3
